loan_id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,revol_util,open_acc,total_acc,issue_d,fico_range_low,fico_range_high,application_type,loan_status,int_rate_dec,term_months,income_to_loan,dti_clipped,risk_band,default_flag
0,27812.29,60 months,10.47,597.32,D,D1,8,RENT,33012.23,debt_consolidation,MI,0.82,0,14.66,15,19,2023-11-29,673,686,Individual,Fully Paid,0.1047,60,1.1869655465263738,0.82,Low,0
1,23983.85,60 months,9.9,508.37,C,C2,9,RENT,37613.76,wedding,IL,18.74,1,54.01,11,20,2021-03-22,698,706,Joint,Fully Paid,0.099,60,1.5682953320672037,18.74,Medium,0
2,28003.22,36 months,14.65,965.91,E,E5,3,RENT,32048.07,credit_card,MD,23.97,1,26.63,5,11,2023-11-12,638,653,Joint,Charged Off,0.1465,36,1.1444423177048924,23.97,Very Low,1
3,23445.09,36 months,11.46,772.66,D,D4,8,RENT,49009.16,small_business,IL,24.35,1,39.3,8,10,2022-12-30,677,684,Individual,Fully Paid,0.11460000000000001,36,2.0903805444978034,24.35,Low,0
4,17972.77,36 months,5.72,544.49,A,A2,8,OTHER,115653.0,debt_consolidation,TX,29.92,0,106.03,10,17,2022-10-07,765,777,Individual,Fully Paid,0.0572,36,6.434901242268165,29.92,Very High,0
5,35896.99,36 months,16.08,1263.5,F,F2,6,MORTGAGE,23285.25,house,NJ,8.65,1,22.73,5,8,2023-12-09,601,611,Individual,Charged Off,0.16079999999999997,36,0.6486685931048816,8.65,Very Low,1
6,24238.46,36 months,10.48,787.6,D,D4,3,RENT,66648.22,home_improvement,MD,14.92,0,52.26,9,9,2024-04-07,663,670,Individual,Fully Paid,0.1048,36,2.749688717847586,14.92,Low,0
7,34601.73,36 months,11.72,1144.58,D,D5,5,MORTGAGE,132585.3,other,IL,21.68,0,0.0,1,6,2022-01-29,666,678,Individual,Fully Paid,0.11720000000000001,36,3.83175349903025,21.68,Low,0
8,21775.47,60 months,6.21,423.11,A,A5,9,MORTGAGE,46754.16,medical,MO,20.39,1,1.03,0,6,2022-09-18,753,770,Joint,Fully Paid,0.0621,60,2.1471022209853565,20.39,High,0
9,24221.78,36 months,9.47,775.56,C,C3,9,RENT,45234.63,moving,IL,33.28,0,24.5,5,10,2022-04-05,698,713,Individual,Fully Paid,0.0947,36,1.8675188198390045,33.28,Medium,0
10,20401.71,36 months,11.24,670.25,C,C2,5,RENT,45604.11,medical,MD,8.95,1,41.03,9,12,2021-08-30,693,699,Individual,Fully Paid,0.1124,36,2.235308216811238,8.95,Medium,0
11,28079.43,60 months,16.23,686.22,F,F2,1,MORTGAGE,101783.42,small_business,NC,26.75,3,31.91,14,18,2021-12-20,606,612,Individual,Fully Paid,0.1623,60,3.6248392506543046,26.75,Very Low,0
12,32142.25,36 months,9.87,1035.14,D,D2,3,OWN,61265.72,home_improvement,NC,21.51,1,30.78,0,0,2023-08-15,673,689,Individual,Fully Paid,0.0987,36,1.9060806259673795,21.51,Low,0
13,25979.81,36 months,13.49,881.49,E,E5,4,RENT,82087.85,medical,IN,15.51,0,87.92,10,14,2023-08-25,649,662,Individual,Fully Paid,0.1349,36,3.159678611968294,15.51,Low,0
14,25579.38,36 months,9.31,817.07,C,C1,8,OWN,46132.7,home_improvement,MI,20.15,0,11.36,6,14,2023-05-26,698,706,Individual,Fully Paid,0.0931,36,1.803511265714806,20.15,Medium,0
15,34700.06,36 months,7.14,1073.71,B,B5,10,MORTGAGE,105659.48,wedding,PA,21.0,0,52.65,8,14,2022-07-29,733,745,Individual,Fully Paid,0.07139999999999999,36,3.0449365217235935,21.0,High,0
